Reference; Quantity; Footprint; Value; Description; Size; Tolerance; Type; Voltage; Power; Current; 
C201 C220 C301 ;3;SMD-0603;100p;'Ceramic capacitor;'0603;'5%;'NP0;'50V;';';
C204 C205 C207 C210 C211 C214 C215 C224 C225 C228 C230 C305 C306 C307 C308 C726 ;16;SMD-0603;100n;'Ceramic capacitor;'0603;'10%;'X7R;'50V;';';
C206 C209 C212 C216 C217 C227 C229 C727 ;8;SMD-0603;10n;'Ceramic capacitor;'0603;'10%;'X7R;'50V;';';
C208 ;1;CAP-SMD-SIZE-D;47u;'Low impedance aluminium electrolytic capacitor - Panasonic FP, FK or Similar;';';'Case D SMD Aluminium Electrolytic;'16V;';';
C213 C302 ;2;CAP-SMD-SIZE-B;10u;'Low impedance aluminium electrolytic capacitor - Panasonic FP, FK or Similar;';';'Case B SMD Aluminium Electrolytic;'16V;';';
C218 ;1;SMD-0603;39n;'Ceramic capacitor;'0603;'10%;'X7R;'50V;';';
C219 ;1;SMD-0603;2n2;'Ceramic capacitor;'0603;'5%;'C0G;'50V;';';
C222 C226 ;2;SMD-0603;N/F;'Ceramic capacitor;'0603;'5%;'C0G;'25V;';';
C203 C223 C309 C310 ;4;SMD-0603;22u;'Ceramic capacitor;'0603;'20%;'X5R;'10V;';';
C303 C304 ;2;SMD-0805;22u;'Ceramic capacitor;'0805;'20%;'X5R;'25V;';';
C605 C606 C607 C608 C613 C614 C619 C620 C621 C622 C627 C628 ;12;SMD-0603;100p;'Ceramic capacitor;'0603;'5%;'C0G;'50V;';';
C609 C610 C611 C612 C623 C624 C625 C626 C701 C702 C703 C704 C713 C714 C715 C716 ;16;SMD-0603;1n;'Ceramic capacitor;'0603;'5%;'C0G;'50V;';';
C601 C602 C603 C604 C615 C616 C617 C618 C705 C706 C707 C708 C709 C710 C711 C712 C717 C718 C719 C720 C721 C722 C723 C724 ;24;SMD-1210;1u;'Acrylic capacitor;'1210;'20%;'Acrylic;'16V;';';
C725 ;1;SMD-0603;10u;'Ceramic capacitor;'0603;'20%;'X5R;'10V;';';
D301 ;1;DIODE-SMA;B240A;'B240A 2A 40V Schottky Rectifier - SMA (DO-214AC);';';';';';';
D302 ;1;SMD-0603-LED;LED 0603;'LED - SMD - Vf 1.8V to 2.2V;'0603;';';';';';
D303 D304 D305 D306 ;4;DIODE-SOD-123;1N5819HW;'1A 40V Schottky Rectifier - SOD-123;';';';';';';
FID301 FID302 FID303 FID304 FID305 FID306 ;6;FID-1MM-2MM;MNT_HOLE;'Fiducial;';';';';';';
L201 L202 L301 ;3;SMD-0805;600R@100MHz;'Ferrite bead, current rating 1A or higher, 600R@100MHz;'0805;';';';';'=>1A;
MNT301 MNT302 MNT303 MNT304 ;4;MNT_HOLE_3.2mm;MNT_HOLE;'Mounting hole;';';';';';';
P201 P406 P407 ;3;CONN_SIL_4_1MM;CONN_4x1;'Text description;';';';';';';
P301 ;1;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;'2 way screw terminal, any 2.54mm to 3.81mm pitch part;';';';';';';
P404 P408 ;2;TP-1mm;PIN;'Text description;';';';';';';
P401 P402 P403 P405 ;4;CONN_SIL_5_1MM;CONN_5x1;'Text description;';';';';';';
P601 P701 P702 ;3;CONN_DIL_2X04;CONN_02X04;'Text description;';';';';';';
R202 ;1;SMD-0603;3K32;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R203 R205 R206 R406 R414 ;5;SMD-0603;N/F;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R201 R204 R404 R405 R413 R415 ;6;SMD-0603;22;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R301 ;1;SMD-0603;47;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R302 ;1;SMD-0603;470;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R401 R402 R403 R407 R408 R409 R410 ;7;SMD-0603;0;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R605 R606 R607 R608 R613 R614 R615 R616 ;8;SMD-0603;220;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R601 R602 R603 R604 R609 R610 R611 R612 R701 R702 R703 R704 R705 R706 R707 R708 R713 R714 R715 R716 R717 R718 R719 R720 ;24;SMD-0603;1K;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R709 R710 R711 R712 R721 R722 R723 R724 ;8;SMD-0603;220K;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R725 ;1;SMD-0603;100K;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
R727 ;1;SMD-0603;100;'Thick or thin film resistor;'0603;'1%;';';'63mW;';
TP401 ;1;TP-TH-1mm;PIN;
U201 ;1;IC-LQFP64;AD1939;'Analog Devices AD1939WBSTZ - 4 ADC/8 DAC with PLL;';';';';';';
U301 ;1;IC-SOT-223;TLV1117LV33DCY;'TLV1117LV 1-A, Positive Fixed-Voltage, Low-Dropout Regulator - Fixed 3V3;';';';';';';
U302 ;1;IC-SOT223-6;TPS7A4533DCQ;'TI TPS7A45xx Regulator;';';';';';';
U701 ;1;IC-SOT143;CAT811TTBI;'CAT811/ADM811 - 4-Pin Microprocessor Power Supply Supervisor with Manual Reset - Active Low;';';';';';';
X201 ;1;XTAL_3.2x2.5_4PIN;N/F;'Not Fitted - 3.2x2.5mm crystal;';';';';';';